LOVID,LOVName,value,Suggestion
Eco_LOV_214,Waterworks Application - FEI,Locate,
Eco_LOV_214,Waterworks Application - FEI,Irrigation,
Eco_LOV_214,Waterworks Application - FEI,Sewer,
Eco_LOV_214,Waterworks Application - FEI,Probe,
Eco_LOV_214,Waterworks Application - FEI,Storm,
Eco_LOV_214,Waterworks Application - FEI,Cleanout,cleanup
Eco_LOV_214,Waterworks Application - FEI,Safety,
Eco_LOV_214,Waterworks Application - FEI,Sanitary Sewer,
Eco_LOV_214,Waterworks Application - FEI,Sewage,
Eco_LOV_214,Waterworks Application - FEI,Waterline Dechlorination,
Eco_LOV_214,Waterworks Application - FEI,Signs,
Eco_LOV_214,Waterworks Application - FEI,Gas,
Eco_LOV_214,Waterworks Application - FEI,"Grease, Lubricants & Oils",
Eco_LOV_214,Waterworks Application - FEI,Commercial,
Eco_LOV_214,Waterworks Application - FEI,Waterline Chlorination,
Eco_LOV_214,Waterworks Application - FEI,Manhole Adapter,
Eco_LOV_214,Waterworks Application - FEI,Water,
Eco_LOV_214,Waterworks Application - FEI,Electric,
Eco_LOV_214,Waterworks Application - FEI,Paved Roads,
Eco_LOV_214,Waterworks Application - FEI,Curb Box & Valve Keys,
Eco_LOV_214,Waterworks Application - FEI,Water Distribution Services & Feed Lines,
Eco_LOV_214,Waterworks Application - FEI,Polymer Dilution,
Eco_LOV_214,Waterworks Application - FEI,Laboratory,
Eco_LOV_214,Waterworks Application - FEI,Drainage,
